# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 455.670791
2, 1.992566, , , 455.670791
3, 2.977781, , , 455.670791
4, 3.955726, , , 455.670791
5, 4.926482, , , 455.670791
6, 5.890127, , , 455.670791
7, 6.846739, , , 455.670791
8, 7.796394, , , 455.670791
9, 8.73917, , , 455.670791
10, 9.675139, , , 455.670791
11, 10.604376, , , 455.670791
12, 11.526952, , , 455.670791
13, 12.44294, , , 455.670791
14, 13.352409, , , 455.670791
15, 14.255429, , , 455.670791
16, 15.152068, , , 455.670791
