# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 71.597449
2, 1.953614, , , 71.597449
3, 2.863995, , , 71.597449
4, 3.73402, , , 71.597449
5, 4.566312, , , 71.597449
6, 5.363276, , , 71.597449
7, 6.127112, , , 71.597449
8, 6.859845, , , 71.597449
9, 7.563337, , , 71.597449
10, 8.239304, , , 71.597449
11, 8.88933, , , 71.597449
12, 9.51488, , , 71.597449
13, 10.117311, , , 71.597449
14, 10.697882, , , 71.597449
15, 11.257762, , , 71.597449
16, 11.798036, , , 71.597449
