# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 27.181514
2, 1.882278, , , 27.181514
3, 2.666465, , , 27.181514
4, 3.368059, , , 27.181514
5, 3.999456, , , 27.181514
6, 4.570688, , , 27.181514
7, 5.089965, , , 27.181514
8, 5.564066, , , 27.181514
9, 5.99864, , , 27.181514
10, 6.398433, , , 27.181514
11, 6.767461, , , 27.181514
12, 7.109141, , , 27.181514
13, 7.426407, , , 27.181514
14, 7.721784, , , 27.181514
15, 7.997462, , , 27.181514
16, 8.255348, , , 27.181514
