# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 267.471985, 1., 27.181514
2, 1.882278, 149.404007, 1.79025978199, 27.181514
3, 2.666465, 109.918999, 2.43335535652, 27.181514
4, 3.368059, 86.075996, 3.10739343638, 27.181514
5, 3.999456, 75.613998, 3.53733425126, 27.181514
6, 4.570688, 68.834999, 3.8856975214, 27.181514
7, 5.089965, 63.194, 4.23255348609, 27.181514
8, 5.564066, 58.407001, 4.57945075797, 27.181514
9, 5.99864, 54.012001, 4.95208435251, 27.181514
10, 6.398433, 51.525002, 5.19111061849, 27.181514
11, 6.767461, 50.332001, 5.31415361372, 27.181514
12, 7.109141, 48.125, 5.55785942857, 27.181514
13, 7.426407, 47.27, 5.6583876666, 27.181514
14, 7.721784, 45.853001, 5.83324927849, 27.181514
15, 7.997462, 45.217999, 5.91516632569, 27.181514
16, 8.255348, 44.276001, 6.04101497333, 27.181514
