# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 22.088308
2, 1.857073, , , 22.088308
3, 2.599817, , , 22.088308
4, 3.249677, , , 22.088308
5, 3.823053, , , 22.088308
6, 4.332696, , , 22.088308
7, 4.788673, , , 22.088308
8, 5.199037, , , 22.088308
9, 5.570305, , , 22.088308
10, 5.907812, , , 22.088308
11, 6.215961, , , 22.088308
12, 6.498423, , , 22.088308
13, 6.758283, , , 22.088308
14, 6.998148, , , 22.088308
15, 7.22024, , , 22.088308
16, 7.426465, , , 22.088308
